,Name,Icon URL,Average User Rating,User Rating Count,Price,In-app Purchases,Genres,Image
63,PocketSports Football Lite,https://is1-ssl.mzstatic.com/image/thumb/Purple111/v4/4e/60/da/4e60da4a-18f8-eafb-6c9d-ae7d4f421cb6/source/512x512bb.jpg,2.5,20234.0,0.0,,"Games, Sports, Entertainment, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
64,BallSnare,https://is1-ssl.mzstatic.com/image/thumb/Purple62/v4/1d/9b/7a/1d9b7ab8-5c97-fce0-ae1a-67fb402d21b7/source/512x512bb.jpg,3.5,7.0,0.99,,"Games, Entertainment, Casual, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
65,Wordology,https://is5-ssl.mzstatic.com/image/thumb/Purple118/v4/7c/71/d6/7c71d6dc-5252-9fe7-4ac5-f593d81764be/source/512x512bb.jpg,3.5,125.0,2.99,,"Games, Entertainment, Word, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
66,Omar Sharif Bridge,https://is2-ssl.mzstatic.com/image/thumb/Purple118/v4/8f/ff/e0/8fffe0d1-a17a-cd91-5b04-1aedc488fd35/source/512x512bb.jpg,2.5,359.0,5.99,,"Games, Card, Entertainment, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
67,PahJong Hurricane,https://is2-ssl.mzstatic.com/image/thumb/Purple62/v4/c1/5e/4f/c15e4f1e-47d7-d3b4-9dcd-e713d7e94027/source/512x512bb.jpg,3.0,6.0,0.99,,"Games, Entertainment, Casual, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
68,Wedding Dash,https://is1-ssl.mzstatic.com/image/thumb/Purple4/v4/53/cc/a4/53cca45d-82d8-7e05-ae3d-4219e0cdb943/source/512x512bb.jpg,4.0,101209.0,0.0,"2.99, 2.99, 5.99, 0.99, 0.0, 0.99, 0.99, 0.99, 0.99, 0.99","Games, Strategy, Action, Entertainment",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
70,Slay,https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/08/fb/ab/08fbab78-3be8-dc73-0036-4e0b057cc5a8/source/512x512bb.jpg,3.0,4885.0,3.99,"9.99, 9.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99","Games, Board, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
71,Paintball II,https://is1-ssl.mzstatic.com/image/thumb/Purple128/v4/87/39/0e/87390eaa-c434-ca69-f017-9bf5396ba6b5/source/512x512bb.jpg,2.0,84.0,2.99,,"Games, Puzzle, Entertainment, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
72,Psarakia (Ice Fishing),https://is4-ssl.mzstatic.com/image/thumb/Purple128/v4/44/b1/0e/44b10e9a-3f61-fd47-0a12-5de902d9ba8a/source/512x512bb.jpg,3.5,13.0,2.99,,"Games, Entertainment, Puzzle, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
73,Shogi Demon,https://is4-ssl.mzstatic.com/image/thumb/Purple118/v4/47/16/89/47168963-8e17-910e-cb90-6697acf3b075/source/512x512bb.jpg,3.5,27.0,2.99,,"Games, Strategy, Board",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
